date,collected_at,category,region,newspaper,headline,url,source_url,status,error_message,topic
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,読売新聞,,,,skipped,robots.txtが一般クローラー/AI系UAを名指しで包括的にDisallow。2024年1月のToS改定で自動収集・生成AI学習目的の収集を明示的に禁止しているため、自動取得の対象外とする。,
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,長野県千曲市で16万円強盗容疑 20~70代の5人を逮捕 匿流か,http://www.asahi.com/articles/ASV9G4QF0V9GOXIE03TM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,万博跡地開発、売却予定価格は921億円 夢洲2期の42ヘクタール,http://www.asahi.com/articles/ASV9G3WJ6V9GOXIE03NM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,駐機中の機体にタラップ車接触 自走不能トラブルも 福岡空港,http://www.asahi.com/articles/ASV9G15K2V9GTIPE009M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,津久井やまゆり園で虐待、入所者を平手打ち 「気持ち抑えきれず」,http://www.asahi.com/articles/ASV9G3D47V9GULOB01CM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,ミャクミャク、絶景にワクワク ヘリコプターで金剛山へお引っ越し,http://www.asahi.com/articles/ASV9G2Q3BV9GPQIP01MM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,富士山の防災ヘリ救助を有料化へ 山梨県が閉山期の無謀登山を対象に,http://www.asahi.com/articles/ASV9G338CV9GUZOB003M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,被災者向け住宅から転居せず、女性への家賃支払い命令が確定 最高裁,http://www.asahi.com/articles/ASV9G2WB8V9GUTIL00QM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,インナーパンツ「下着にあたる」と判決 盗撮事件、被告の主張退ける,http://www.asahi.com/articles/ASV9G2V2CV9GUTIL00NM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,業務用PCに大量の児童ポルノ保存か 三浦綾子財団が専務理事を解職,http://www.asahi.com/articles/ASV9G2R7QV9GIIPE003M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,悠仁さま、岩手の被災地の診療所に 「役に立っていること分かった」,http://www.asahi.com/articles/ASV9G2S51V9GUTIL00GM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,社会
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,千人の在日コリアンの大声援 アジア大会サッカー女子で北朝鮮が大勝,http://www.asahi.com/articles/ASV9G3CHLV9GPQIP028M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,ボイコットのチームに処分の可能性 アメフトXリーグの契約違反問題,http://www.asahi.com/articles/ASV9G2H6KV9GUTQP02NM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,りくりゅう婚約発表後、初の公の場 「60年、素敵に年を重ねたい」,http://www.asahi.com/articles/ASV9G13PXV9GUTQP01FM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,選手村を造らないアジア大会 選手ら運ぶルートは一般道に600超,http://www.asahi.com/articles/ASV923DKHV92OIPE009M.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,逆転サヨナラ負けのドジャースに希望 「飛び級」の21歳が初アーチ,http://www.asahi.com/articles/ASV9G0PYPV9GUTQP00BM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,スポーツ
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,米長期金利上昇、一時5%超え インフレ懸念で2023年10月以来,http://www.asahi.com/articles/ASV9G4WS2V9GUHBI01MM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,「努力が足りない」社長の叱責が一因に 中部電不正、担当部は正当化,http://www.asahi.com/articles/ASV9G421XV9GUTFL00RM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
2026-09-15,2026-09-15T01:02:17.716553+09:00,全国紙,全国,朝日新聞,「国保逃れ」計1万1千人超、45事業所で疑い 厚労省が調査,http://www.asahi.com/articles/ASV9G3GR6V9GUTFL00PM.html,https://www.asahi.com/rss/asahi/newsheadlines.rdf,ok,,ビジネス
